cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10,cls11,cls12,cls13,cls14,cls15,cls16,cls17,cls18,cls19,cls20
2260.579326,2104.686871,2377.107722,2239.548185,2464.509829,2103.312918,2216.333962,2391.708939,2249.985311,2301.388993,2260.579326,2104.686871,2377.107722,2239.548185,2464.509829,2103.312918,2216.333962,2391.708939,2249.985311,2301.388993
2306.945445,2415.513067,2677.288456,2641.884235,2546.933554,2546.796093,2688.550253,2443.779206,2464.258185,2387.709228,2306.945445,2415.513067,2677.288456,2641.884235,2546.933554,2546.796093,2688.550253,2443.779206,2464.258185,2387.709228
2784.874565,2732.806485,2800.8152,2597.434936,2607.271162,2822.034849,2824.029405,2591.998446,2979.338828,2621.241487,2784.874565,2732.806485,2800.8152,2597.434936,2607.271162,2822.034849,2824.029405,2591.998446,2979.338828,2621.241487
2884.651436,2863.174529,2959.073256,2939.569148,2893.978689,2942.776407,2978.7995,2991.166025,2822.33419,3030.095381,2884.651436,2863.174529,2959.073256,2939.569148,2893.978689,2942.776407,2978.7995,2991.166025,2822.33419,3030.095381
3251.170875,3371.880854,3350.080711,3260.351157,3391.37458,3384.78714,3216.610032,3249.295911,3371.018738,3270.335765,3251.170875,3371.880854,3350.080711,3260.351157,3391.37458,3384.78714,3216.610032,3249.295911,3371.018738,3270.335765
3431.47702,3600.437703,3519.029204,3395.534193,3484.531226,3512.641418,3570.229576,3406.723778,3462.4058,3475.09028,3431.47702,3600.437703,3519.029204,3395.534193,3484.531226,3512.641418,3570.229576,3406.723778,3462.4058,3475.09028
3501.697389,3395.995599,3548.903695,3673.657982,3422.687147,3614.60672,3587.682899,3567.551012,3763.580517,3645.92656,3501.697389,3395.995599,3548.903695,3673.657982,3422.687147,3614.60672,3587.682899,3567.551012,3763.580517,3645.92656
3713.134474,3927.833386,3761.938606,3796.817587,3555.538139,3837.836253,3673.419611,3795.937171,3686.90007,3756.498976,3713.134474,3927.833386,3761.938606,3796.817587,3555.538139,3837.836253,3673.419611,3795.937171,3686.90007,3756.498976
3756.031399,3538.913403,3645.337795,3567.448803,3608.284807,3643.929415,3721.257996,3541.310572,3551.1026,3657.004636,3756.031399,3538.913403,3645.337795,3567.448803,3608.284807,3643.929415,3721.257996,3541.310572,3551.1026,3657.004636
3649.180101,3650.927896,3634.322145,3516.308216,3578.431974,3593.145031,3586.516555,3425.6157,3496.796888,3372.966739,3649.180101,3650.927896,3634.322145,3516.308216,3578.431974,3593.145031,3586.516555,3425.6157,3496.796888,3372.966739
